n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0044777663,0.0008809562,0.0000158220,0.0094328348,0.0036623369,0.0008531040
1,200,0.0007017501,0.0000632477,0.0000010551,0.0038047128,0.0009479719,0.0002158252
2,300,0.0001792580,0.0000130999,0.0000002172,0.0023489547,0.0004290937,0.0000964921
3,400,0.0000883056,0.0000047959,0.0000000733,0.0016899821,0.0002446243,0.0000545466
4,500,0.0000511703,0.0000018162,0.0000000292,0.0013143075,0.0001568178,0.0000349220
5,600,0.0000323141,0.0000008739,0.0000000139,0.0010751656,0.0001096463,0.0000243366
6,700,0.0000226656,0.0000005343,0.0000000081,0.0009111480,0.0000810793,0.0000179399
7,800,0.0000156980,0.0000003452,0.0000000051,0.0007907632,0.0000622825,0.0000137647
8,900,0.0000112106,0.0000002285,0.0000000032,0.0006965962,0.0000492471,0.0000108761
9,1000,0.0000082569,0.0000001315,0.0000000020,0.0006229740,0.0000399265,0.0000088134
