n,points,E,Em,E_1_5,E_nv,E_lim,A,Am,A_1_5,A_nv,A_lim
0,100,1.803154790000000,1.770097910000000,1.775895036400000,1.791350668400000,0.668865386949623,0.621100000000000,-0.004700000000000,0.008060000000000,0.036460000000000,0.652981988668828
1,200,1.804248705975000,1.778011197500000,1.782739160000000,1.792286239775000,0.633640967605769,0.626595000000000,-0.014450000000000,-0.007800000000000,0.007985000000000,0.651649801733975
2,300,1.798968218844444,1.774241767777778,1.777451651906173,1.783906521995062,0.651809817634422,0.631506666666667,-0.013433333333333,-0.009037777777778,0.002142222222222,0.651226217156247
3,400,1.797714577773438,1.775713371100000,1.777508327360938,1.783491019975000,0.637174001723584,0.636268750000000,-0.009830000000000,-0.006646250000000,0.001995000000000,0.651247368427296
4,500,1.795481390151040,1.778624599528960,1.780309779701760,1.785060360728960,0.639022313810180,0.639866400000000,-0.006884800000000,-0.004076800000000,0.002615200000000,0.651768087528361
5,600,1.796271817170062,1.777678239683951,1.779179273133024,1.783331348799691,0.642073998002468,0.641507222222222,-0.006462222222222,-0.004170555555556,0.001759444444444,0.651734267929044
6,700,1.794528223146856,1.780200016040650,1.781405371091212,1.784682964081633,0.640857819425220,0.642517959183673,-0.006059591836735,-0.003981632653061,0.001057142857143,0.651166233398897
7,800,1.793271709810938,1.779367789506934,1.780531347003028,1.783429608398438,0.639813875608355,0.643986250000000,-0.005033437500000,-0.003244687500000,0.001281250000000,0.651534066572586
8,900,1.793545129858010,1.781779591896296,1.782804349427161,1.784999135427161,0.641224658940044,0.645369876543210,-0.004731111111111,-0.003157777777778,0.000608888888889,0.651651378991146
9,1000,1.793059272031840,1.781100459337240,1.782014126323040,1.784639986036440,0.642221254760421,0.645460400000000,-0.004282600000000,-0.002876400000000,0.000643400000000,0.651897065690368
