n,points,E,Em,E_1.5,E_nv,A,Am,A_1.5,A_nv
0,100,0.0036715617,0.0018318442,0.0017204804,0.0030247406,0.0004181477,-0.0001884584,-0.0008876625,-0.0009640029
1,200,0.0027410268,0.0012899756,0.0012459564,0.0022728461,0.0002959605,0.0000596864,-0.0002939397,-0.0003425091
2,300,0.0022849374,0.0010688016,0.0010426367,0.0019113553,0.0000927071,-0.0000328423,-0.0002610606,-0.0003543698
3,400,0.0020130141,0.0009388538,0.0009209592,0.0016848451,0.0000772556,0.0000149679,-0.0001527381,-0.0001980557
4,500,0.0018233465,0.0008442253,0.0008312417,0.0015251638,0.0000843910,0.0000340780,-0.0001038802,-0.0001422093
5,600,0.0016741907,0.0007747505,0.0007648022,0.0014112958,0.0000561761,-0.0000032173,-0.0001169398,-0.0001854336
6,700,0.0015628840,0.0007219297,0.0007139830,0.0013160256,0.0000335085,0.0000031506,-0.0000945834,-0.0001208985
7,800,0.0014697094,0.0006756702,0.0006693327,0.0012363127,0.0000608083,0.0000073628,-0.0000785630,-0.0000985775
8,900,0.0013918970,0.0006413783,0.0006357439,0.0011728441,0.0000284195,0.0000019779,-0.0000751002,-0.0001109005
9,1000,0.0013225370,0.0006097579,0.0006049513,0.0011195683,0.0000375884,0.0000041976,-0.0000648739,-0.0000910260
