n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,8.180305391e-17,8.180305391e-17,8.180305391e-17,1,1,1
1,200,8.180305391e-17,8.180305391e-17,8.180305391e-17,1,1,1
2,300,1.556168931e-16,1.556168931e-16,1.556168931e-16,1,1,1
3,400,8.180305391e-17,8.180305391e-17,8.180305391e-17,1,1,1
4,500,-4.525188817e-17,-4.525188817e-17,-4.525188817e-17,1,1,1
5,600,1.556168931e-16,1.556168931e-16,1.556168931e-16,1,1,1
6,700,-5.319282205e-17,-5.319282205e-17,-5.319282205e-17,1,1,1
7,800,8.180305391e-17,8.180305391e-17,8.180305391e-17,1,1,1
8,900,5.268629635e-17,5.268629635e-17,5.268629635e-17,1,1,1
9,1000,-4.525188817e-17,-4.525188817e-17,-4.525188817e-17,1,1,1
