n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,1.787488204400000,1.791831960000000,1.795899212400000,0.645871422805104,0.623660000000000,0.029800000000000,0.038740000000000,0.654686621744657
1,200,1.788630908400000,1.780291056775000,1.782479973775000,0.645802401479188,0.639460000000000,0.008885000000000,0.013785000000000,0.653632432363871
2,300,1.790613148044444,1.785874794424691,1.787414036735802,0.653505644350066,0.639913333333333,0.006384444444444,0.009624444444444,0.653720434150984
3,400,1.795439307900000,1.786374681048438,1.787909318673438,0.639405349545134,0.643390000000000,0.004221250000000,0.006571250000000,0.651902644992578
4,500,1.793134792058240,1.784041187778560,1.785301416191360,0.641605085251463,0.644677600000000,0.004051200000000,0.005880800000000,0.652388234644943
5,600,1.793175497402469,1.783243190513580,1.784270600330556,0.644457080904652,0.645724444444444,0.001864444444444,0.003568333333333,0.652277570733010
6,700,1.791277197058559,1.783752033303457,1.784502983756768,0.642393325643141,0.646238367346939,0.001198367346939,0.002530612244898,0.651572708325392
7,800,1.791354698917871,1.782639255015235,1.783432823593750,0.641333122460704,0.646409062500000,0.000863125000000,0.002162500000000,0.651890040463028
8,900,1.791660687974150,1.785574817887517,1.786283938117726,0.642841721172738,0.647962469135802,0.001570370370370,0.002723950617284,0.652004184646513
9,1000,1.790708389912160,1.784169233674840,1.784852055817240,0.643132951926769,0.648197200000000,0.000875400000000,0.001882600000000,0.652188733450426
