n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.9185240064,0.8863501056,0.8886042624,-0.2854400000,0.3371200000,0.3337600000
1,200,0.9087960000,0.8840461296,0.8860802496,-0.3020000000,0.3405200000,0.3375200000
2,300,0.9085004721,0.8828961182,0.8843879108,-0.3024888889,0.3422044444,0.3400177778
3,400,0.9053207100,0.8870502336,0.8879156559,-0.3077000000,0.3360800000,0.3347900000
4,500,0.9023042460,0.8875808841,0.8884033819,-0.3125632000,0.3352896000,0.3340608000
5,600,0.9002394794,0.8894984210,0.8901269025,-0.3158488889,0.3324177778,0.3314711111
6,700,0.8991675707,0.8892963152,0.8898432028,-0.3175412245,0.3327216327,0.3318987755
7,800,0.9000981747,0.8897593994,0.8903181517,-0.3160725000,0.3320250000,0.3311825000
8,900,0.8988276268,0.8899844465,0.8903902845,-0.3180760494,0.3316859259,0.3310735802
9,1000,0.8983175864,0.8899172539,0.8902980811,-0.3188768000,0.3317872000,0.3312128000
