n,points,E,Em,E_1.5,E_lim,A,Am,A_1.5,A_lim
0,100,15.830295782399995,13.927236998399996,6.213179768399999,0.020386565664811,0.713206994918026,0.709227045169600,-0.007760902009432,0.737624218435910
1,200,22.599430522499997,20.171314008024996,8.535109756224999,0.020406596796829,0.707452809380246,0.720219405441843,0.000493735759288,0.738061543767583
2,300,28.533663197930853,25.289205663511098,10.270977755679013,0.020403415214507,0.724672433174108,0.735124254682319,-0.002113419790263,0.737475366163971
3,400,33.118548478476562,29.451900752400000,11.991936897806250,0.020411384722219,0.729461459930159,0.735478923967235,-0.002846435270650,0.737570149798958
4,500,36.903675966661787,32.684502388493470,13.339667072256002,0.020401670946548,0.722027723386173,0.728925792866831,-0.000357412926459,0.737661254377241
5,600,40.808861425245709,36.075432626385521,14.779982695718827,0.020425106794943,0.726266493236976,0.733105749725878,-0.003086503425409,0.737780701258798
6,700,44.201593730413101,38.928634438882085,15.840765295178509,0.020417043864987,0.729468176555565,0.732543688113870,0.001111500668440,0.737721535254051
7,800,47.380832638681710,41.792886390070478,17.239909295355567,0.020421922718828,0.728836306256962,0.735275788347149,-0.003718822990355,0.737691182833248
8,900,50.326406643498395,44.346565999170515,18.166010919066544,0.020407310552656,0.727950801117275,0.734510116976340,-0.002095131363560,0.737706361362546
9,1000,53.182340059524691,46.879337135600842,19.253926483476839,0.020400313608743,0.731770688450496,0.736473804285771,-0.000562603910402,0.737711543236012

