n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,98.914195353599993155,98.999936639999987165,97.528415846399937550,-0.292924301484187077,-0.007959899496852956,1.213088683320412864
1,200,198.936665145600017013,198.999998726400008309,197.603868217600108892,-0.251664169877236554,-0.001128538878373264,1.181580205656769689
2,300,298.971310080316015956,298.988686985797528450,297.216776544711137831,-0.169380989736012899,0.106362654171797313,1.335373900931429159
3,400,398.962997976900055619,398.985540080400028273,397.248235347599688794,-0.192359099342869933,0.120249405819738017,1.323542463391459645
4,500,498.953458650357845272,498.995251520471128970,497.247401373696447990,-0.215734442410657118,0.068909212221299615,1.323857479604056087
5,600,598.936424666153016005,598.995867272711052465,597.312325646399358448,-0.252141495686270978,0.064286291609399165,1.299105212675486509
6,700,698.943596486008118518,698.995025274818090111,697.239580371763395306,-0.237494239912930560,0.070531731737147732,1.326808060058644045
7,800,798.952780972656341874,798.993164055625015862,797.166766410001400800,-0.217299395635937476,0.082679770046847123,1.353969567604331736
8,900,898.921454901041670382,898.998720313770718349,897.329912937270592010,-0.280258985508672176,0.035772702292311609,1.292318483474360180
9,1000,998.935345911766944482,998.996983765493723695,997.268909043943153847,-0.254271681932903282,0.054920255882869404,1.315709297700970337
