n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.999133286400000098,0.999999360000000115,0.985135513600000068,-0.029440000000000001,-0.000800000000000000,0.121920000000000014
1,200,0.999681734400000077,0.999999993600000137,0.992984262400000040,-0.017840000000000002,-0.000080000000000000,0.083760000000000001
2,300,0.999904047091357939,0.999962163832098683,0.994036041955555505,-0.009795555555555556,0.006151111111111111,0.077226666666666666
3,400,0.999907263100000110,0.999963759600000057,0.995609612400000121,-0.009630000000000001,0.006020000000000000,0.066259999999999999
4,500,0.999906730762239904,0.999990484008959957,0.996487778303999927,-0.009657599999999999,0.003084800000000000,0.059263999999999997
5,600,0.999893864217283879,0.999993100622222131,0.997182513599999987,-0.010302222222222221,0.002626666666666666,0.053079999999999995
6,700,0.999919308277550933,0.999992883082715500,0.997481516983923289,-0.008982857142857143,0.002667755102040816,0.050184489795918365
7,800,0.999940902343750104,0.999991444375000094,0.997705590000000031,-0.007687500000000001,0.002925000000000000,0.047900000000000005
8,900,0.999912630590702678,0.999998576544795070,0.998142283578722811,-0.009347160493827162,0.001193086419753087,0.043101234567901235
9,1000,0.999935281192959935,0.999996980746239994,0.998267176220159924,-0.008044800000000000,0.001737600000000000,0.041627199999999996
