n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.997459840000000098,0.999723110400000059,0.988848640000000056,-0.050400000000000007,0.016640000000000002,0.105600000000000013
1,200,0.997463870400000063,0.999942846400000085,0.993721022400000042,-0.050360000000000002,0.007560000000000001,0.079240000000000005
2,300,0.997597693155555465,0.999966822399999899,0.995731555555555481,-0.049013333333333332,0.005759999999999999,0.065333333333333327
3,400,0.998273597500000109,0.999944795100000117,0.996458559900000096,-0.041550000000000004,0.007430000000000001,0.059510000000000007
4,500,0.998344747048959924,0.999965482024959940,0.997120175103999973,-0.040684800000000000,0.005875200000000000,0.053663999999999996
5,600,0.998494904869135724,0.999987484128394999,0.997834648888888842,-0.038795555555555555,0.003537777777777778,0.046533333333333329
6,700,0.998702824223240304,0.999977860094294013,0.998006395724448048,-0.036016326530612243,0.004705306122448979,0.044649795918367347
7,800,0.998778322743750113,0.999993535693750046,0.998372280975000082,-0.034952500000000004,0.002542500000000000,0.040345000000000006
8,900,0.998771367681755895,0.999998509792043966,0.998625476414936819,-0.035051851851851855,0.001220740740740741,0.037074567901234569
9,1000,0.998872652223999902,0.999998540735999919,0.998786620311039930,-0.033576000000000002,0.001208000000000000,0.034833599999999999
