n,points,E_EM,E_Mil,E_2star,E_lim,E_1_5,A_EM,A_Mil,A_2star,A_lim,A_1_5
0,100,20.587842950399999,12.629681697599999,12.138430233599999,0.000513647941358,12.168676040399999,0.064475185924509,-0.052137341704387,0.054127316578600,0.092923965454435,-0.020098746229554
1,200,31.664612364899998,18.358019923600001,17.893340336900000,0.000516625916576,17.852243190225000,0.090706312349252,-0.041473803780218,0.068699804220973,0.092996752091595,-0.006841766950138
2,300,40.641155844819750,23.168052461377776,22.707054268760494,0.000517376513697,22.608373896044444,0.110512642123586,-0.033545735943634,0.079464584113900,0.092960866251286,0.003573600736263
3,400,47.553506030625002,26.959197566306251,26.487585551306250,0.000516273464916,26.385869578556250,0.096379299514989,-0.035106035004683,0.077552876759989,0.093004431421322,-0.000649186991552
4,500,54.023118541711362,30.741446106458241,30.319128504717440,0.000515295557648,30.255362849042562,0.104864952623076,-0.030755382321799,0.080614485562832,0.093033436348531,0.002269572083015
5,600,60.009220194113894,33.773068721433333,33.243926900464196,0.000515450973933,33.064798568316050,0.099570328565067,-0.034835338219815,0.076795468487710,0.093027085057556,-0.001196529962273
6,700,65.501347752369853,36.831941376215909,36.183016178910286,0.000515031614414,36.078669507004747,0.108560162373884,-0.032848621696431,0.076046070004847,0.093016772157819,-0.001230204623322
7,800,70.524460564097268,39.654232527056251,38.934564510387595,0.000515306358499,38.759988155822761,0.110716692069148,-0.033707906249870,0.078731281028587,0.093013437529554,-0.001104163595711
8,900,75.324219125025394,42.256473140722512,41.535708892067916,0.000515167360332,41.332244161140615,0.113440628564796,-0.031086419065690,0.080784711799193,0.093014769776794,0.001502868080575
9,1000,79.746665487380639,44.495769194495999,43.793203919000035,0.000515253887750,43.565185246119839,0.109069301911034,-0.035905507989722,0.075850385628289,0.093022757178768,-0.002440057409161
