n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.0035665548,0.0017596593,0.0016425860,0.0001050130,-0.0002623832,-0.0009158468
1,200,0.0027221856,0.0012922209,0.0012482729,0.0002652229,-0.0000573905,-0.0003949703
2,300,0.0022969530,0.0010700836,0.0010424035,0.0001332204,-0.0000070594,-0.0002328028
3,400,0.0020169638,0.0009326383,0.0009150501,0.0001515405,0.0000135053,-0.0001577377
4,500,0.0018194239,0.0008414662,0.0008283405,0.0001323046,0.0000239755,-0.0001138406
5,600,0.0016786665,0.0007734157,0.0007634221,0.0000635626,0.0000051296,-0.0001062386
6,700,0.0015612491,0.0007198620,0.0007118349,0.0000766571,0.0000099552,-0.0000881076
7,800,0.0014688893,0.0006766790,0.0006699581,0.0000549740,0.0000045335,-0.0000812470
8,900,0.0013877575,0.0006396825,0.0006341448,0.0000443794,0.0000062478,-0.0000704655
9,1000,0.0013251773,0.0006089666,0.0006040759,0.0000405307,0.0000012035,-0.0000674147
