n,points,E,Em,E_1.5,A,Am,A_1.5
0,100,0.0428694412,0.0429309075,0.0429641572,0.2517605335,0.2511009352,0.2519308973
1,200,0.0446826973,0.0446704356,0.0446411656,0.2527322077,0.2529580931,0.2533037896
2,300,0.0458344898,0.0458916315,0.0458596234,0.2523391563,0.2525025554,0.2527158006
3,400,0.0463755073,0.0464935994,0.0464690053,0.2523840495,0.2524891673,0.2526595478
4,500,0.0465882117,0.0466577164,0.0466407320,0.2514387455,0.2515387147,0.2516605508
5,600,0.0469763427,0.0470824791,0.0470598445,0.2517147973,0.2518075622,0.2519150813
6,700,0.0470851202,0.0471854330,0.0471709785,0.2514213439,0.2515188946,0.2516141784
7,800,0.0472759720,0.0473500870,0.0473386021,0.2513113978,0.2514206062,0.2515083915
8,900,0.0473617333,0.0474130739,0.0474028938,0.2511028994,0.2511603247,0.2512404069
9,1000,0.0474156343,0.0474871367,0.0474797131,0.2510538168,0.2511240923,0.2511943152
