n,points,E,Em,E_1.5,E_nv,A,Am,A_1.5,A_nv
0,100,0.0036327052,0.0017707374,0.0016534358,0.0029716366,0.0003271415,-0.0000152985,-0.0007064875,-0.0007892979
1,200,0.0027014026,0.0012851088,0.0012395927,0.0022795101,0.0001942043,-0.0000544247,-0.0003733803,-0.0004764428
2,300,0.0022838985,0.0010678912,0.0010416960,0.0019220908,0.0001007686,0.0000055436,-0.0002232309,-0.0002955057
3,400,0.0020291833,0.0009379564,0.0009194448,0.0016831313,0.0001114618,0.0000649981,-0.0001097494,-0.0001626216
4,500,0.0018178021,0.0008434414,0.0008304153,0.0015299728,0.0000851372,-0.0000157687,-0.0001539985,-0.0001848076
5,600,0.0016747362,0.0007728249,0.0007627616,0.0014076818,0.0001025488,0.0000331248,-0.0000826693,-0.0001115993
6,700,0.0015577342,0.0007168752,0.0007088181,0.0013114946,0.0000537037,0.0000153944,-0.0000846252,-0.0001168805
7,800,0.0014672818,0.0006788738,0.0006720250,0.0012411671,0.0000740527,0.0000214485,-0.0000647678,-0.0000964353
8,900,0.0013916097,0.0006404184,0.0006346916,0.0011749223,0.0000405358,0.0000092838,-0.0000657313,-0.0000965925
9,1000,0.0013254956,0.0006104528,0.0006056164,0.0011185268,0.0000469988,0.0000201984,-0.0000478887,-0.0000793365
