n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.5654900736,0.0156449536,0.0012795904,0.3379200000,-0.0059200000,0.0006400000
1,200,0.5621266416,0.0070363136,0.0006398976,0.3382800000,-0.0019200000,0.0003200000
2,300,0.5619795804,0.0049403484,0.0007820693,0.3381688889,-0.0013688889,0.0003911111
3,400,0.5659430311,0.0033191536,0.0004799424,0.3411700000,-0.0009200000,0.0002400000
4,500,0.5664251607,0.0034424535,0.0003967606,0.3415360000,-0.0008640000,0.0001984000
5,600,0.5660703956,0.0025238186,0.0002844242,0.3412666667,-0.0007911111,0.0001422222
6,700,0.5646154835,0.0019458215,0.0003460925,0.3401632653,-0.0005485714,0.0001730612
7,800,0.5664699351,0.0018046836,0.0002799804,0.3415700000,-0.0005625000,0.0001400000
8,900,0.5684528695,0.0016589790,0.0002765241,0.3430775309,-0.0005293827,0.0001382716
9,1000,0.5662860820,0.0014845508,0.0001855914,0.3414304000,-0.0004992000,0.0000928000
