n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.5552710656,0.0137507584,0.0009597696,0.0965023077,0.3331200000,-0.0030400000,0.0004800000,0.3433631372
1,200,0.5572428400,0.0072764656,0.0007998400,0.0964772442,0.3346000000,-0.0018800000,0.0004000000,0.3411384956
2,300,0.5655491078,0.0048686077,0.0005688080,0.0990892217,0.3408711111,-0.0015822222,0.0002844444,0.3428058801
3,400,0.5600198439,0.0030792604,0.0005599216,0.0987518829,0.3366900000,-0.0008600000,0.0002800000,0.3439419711
4,500,0.5665094400,0.0026617702,0.0004223554,0.0987110726,0.3416000000,-0.0007936000,0.0002112000,0.3434482654
5,600,0.5646756897,0.0023729180,0.0004088471,0.0988976380,0.3402088889,-0.0006444444,0.0002044444,0.3433770427
6,700,0.5669393089,0.0020958337,0.0002873263,0.0991227751,0.3419265306,-0.0007020408,0.0001436735,0.3431787888
7,800,0.5674800361,0.0018595578,0.0001749923,0.0988286289,0.3423375000,-0.0006650000,0.0000875000,0.3433843113
8,900,0.5672426361,0.0017497976,0.0002172721,0.0985687058,0.3421570370,-0.0005708642,0.0001086420,0.3428260122
9,1000,0.5655819172,0.0014525665,0.0002015898,0.0988440642,0.3408960000,-0.0004832000,0.0001008000,0.3434279957
