n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.5953764796,0.0355585264,0.0089811644,0.1201866277,0.3630200000,-0.0064400000,0.0043400000,0.3736610050
1,200,0.5974374556,0.0177395994,0.0052033694,0.1200462969,0.3653800000,-0.0032250000,0.0025750000,0.3734171723
2,300,0.5998837221,0.0118253084,0.0031974684,0.1213296571,0.3674244444,-0.0024088889,0.0015911111,0.3745661363
3,400,0.6019431082,0.0089263136,0.0024709840,0.1205834914,0.3690825000,-0.0019200000,0.0012312500,0.3740483288
4,500,0.6028096429,0.0071497859,0.0019942302,0.1208151239,0.3697696000,-0.0014880000,0.0009848000,0.3742872537
5,600,0.6037080669,0.0058993702,0.0016892953,0.1207874852,0.3704827778,-0.0013194444,0.0008394444,0.3741655857
6,700,0.6037744561,0.0050730037,0.0014044148,0.1208904774,0.3705355102,-0.0011322449,0.0006951020,0.3744113847
7,800,0.6050710219,0.0045677274,0.0013027094,0.1211093840,0.3715662500,-0.0010112500,0.0006446875,0.3742970976
8,900,0.6053632089,0.0040183886,0.0011236436,0.1210247270,0.3717987654,-0.0009330864,0.0005540741,0.3743611766
9,1000,0.6053092252,0.0036988887,0.0010221427,0.1211418488,0.3717558000,-0.0008434000,0.0005072000,0.3743903900
