n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.5898347264,0.0370560000,0.0092613376,0.0033999644,0.3585600000,-0.0080000000,0.0043200000,0.3736169631
1,200,0.5971381744,0.0190330304,0.0054330304,0.0033671876,0.3651600000,-0.0026400000,0.0026400000,0.3740597693
2,300,0.6018558265,0.0115850923,0.0031974400,0.0033713530,0.3690133333,-0.0024533333,0.0016000000,0.3742787042
3,400,0.5991590656,0.0091770759,0.0027181504,0.0033669090,0.3668800000,-0.0017100000,0.0013600000,0.3742514641
4,500,0.6045783648,0.0074088603,0.0021492983,0.0033663813,0.3711744000,-0.0015296000,0.0010496000,0.3743749347
5,600,0.6035814539,0.0058559161,0.0017681378,0.0033606911,0.3703822222,-0.0013644444,0.0008666667,0.3743493446
6,700,0.6056406070,0.0050861646,0.0013644322,0.0033679238,0.3720195918,-0.0010873469,0.0006824490,0.3743458638
7,800,0.6054401404,0.0044290494,0.0013495578,0.0033832605,0.3718600000,-0.0009750000,0.0006650000,0.3743232322
8,900,0.6062508771,0.0042302308,0.0011137638,0.0033854036,0.3725056790,-0.0009382716,0.0005570370,0.3742783699
9,1000,0.6052119670,0.0035257549,0.0009565742,0.0033755715,0.3716784000,-0.0008032000,0.0004752000,0.3743367928
