n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1027196762,0.0483736886,0.0510850127,0.0503508629,-0.2174167563,-0.1164636059,-0.1198162579,-0.1188292023
1,200,0.0977197341,0.0503213420,0.0516228749,0.0512803623,-0.2220816536,-0.1228328692,-0.1245772764,-0.1240709170
2,300,0.0933774252,0.0497251843,0.0505443665,0.0503326888,-0.2217114302,-0.1234801770,-0.1246706172,-0.1243263813
3,400,0.0928593840,0.0504745043,0.0510833680,0.0509274696,-0.2245406124,-0.1262574393,-0.1271759820,-0.1269123138
4,500,0.0916389696,0.0503360810,0.0508144810,0.0506928929,-0.2250541400,-0.1266606244,-0.1274026846,-0.1271898407
5,600,0.0909405661,0.0502696946,0.0506628714,0.0505632572,-0.2252906908,-0.1270880656,-0.1277093877,-0.1275315725
6,700,0.0904614946,0.0502312559,0.0505650893,0.0504807200,-0.2253698624,-0.1274179114,-0.1279530516,-0.1278000013
7,800,0.0899046498,0.0500539847,0.0503427009,0.0502698585,-0.2253215500,-0.1273258671,-0.1277940939,-0.1276602578
8,900,0.0897984786,0.0501872146,0.0504433589,0.0503788692,-0.2258044335,-0.1277911184,-0.1282094152,-0.1280899768
9,1000,0.0896024934,0.0502388168,0.0504687570,0.0504109352,-0.2256286872,-0.1277364784,-0.1281132734,-0.1280057271
