n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0139138016,0.0001830436,0.0000057436,0.1067166852,0.0044225531,0.0017144292
1,200,0.0136963780,0.0000501089,0.0000012700,0.1122747009,0.0027449319,0.0008957527
2,300,0.0136083057,0.0000236682,0.0000005405,0.1133638189,0.0019536844,0.0006011121
3,400,0.0135513539,0.0000138169,0.0000002973,0.1135115926,0.0014908252,0.0004503691
4,500,0.0135653745,0.0000090726,0.0000001874,0.1137950258,0.0012125409,0.0003604775
5,600,0.0135334840,0.0000063361,0.0000001299,0.1137900967,0.0010116948,0.0003007564
6,700,0.0134891008,0.0000047225,0.0000000948,0.1138984027,0.0008722445,0.0002582778
7,800,0.0134861706,0.0000036555,0.0000000724,0.1141627280,0.0007729294,0.0002264614
8,900,0.0134795963,0.0000029038,0.0000000569,0.1141022939,0.0006878098,0.0002008913
9,1000,0.0134749300,0.0000023666,0.0000000460,0.1143342672,0.0006209429,0.0001811757
