n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,21.1376537856,5.7740601600,0.0316774656,0.0477936556,0.2372050050,0.2945162814,-0.0015919799,0.2902409644
1,200,32.3777136016,7.5057782016,0.0477596816,0.0484266062,0.3391259330,0.2685922531,0.0005642694,0.2900838304
2,300,43.4591441127,9.6169745522,0.0531554611,0.0488035929,0.3728841026,0.2803547416,0.0003074065,0.2907972964
3,400,50.4458428761,12.0059795856,0.0558590025,0.0485385576,0.3733324576,0.3028207628,0.0009987492,0.2900006205
4,500,57.0500437146,12.5286884834,0.0830330890,0.0487708472,0.3754265380,0.2822132467,0.0007148259,0.2908613220
5,600,62.7742651577,13.7056770434,0.0532442551,0.0483673785,0.3803877526,0.2816196429,-0.0004351018,0.2900125225
6,700,68.1516454306,15.3442102527,0.0502138105,0.0484063944,0.4025574848,0.2917959036,0.0002589904,0.2900516345
7,800,73.0984219683,15.8407731264,0.0199748752,0.0484208027,0.3973575615,0.2816058835,0.0003533324,0.2905364099
8,900,78.8891176343,17.4241566391,0.0426191330,0.0483147707,0.3942104412,0.2919857985,0.0003553580,0.2900669152
9,1000,84.4700886054,18.2812076289,0.0351647974,0.0484062058,0.4142281915,0.2905311879,-0.0000505711,0.2901027877
