n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,98.5883906304,98.5313894400,98.9531237376,98.9544923136,-0.6415678994,-0.6845513567,0.2165092663,0.2133253065
1,200,198.6997994256,198.6062843904,198.8695833600,198.8667148944,-0.5479056255,-0.6274676164,0.3611324411,0.3650823272
2,300,298.6620836602,298.5993742794,298.8827274101,298.8797612828,-0.5813057198,-0.6329500143,0.3424508577,0.3467545489
3,400,398.5952454225,398.5311277584,398.9110609449,398.9098655409,-0.6362032517,-0.6847424637,0.2982265164,0.3002240149
4,500,498.6169674646,498.5639297909,498.8950505167,498.8938428760,-0.6188962235,-0.6603561229,0.3239590765,0.3258176238
5,600,598.5994938217,598.5124753968,598.9131038835,598.9116872973,-0.6328555746,-0.6982296207,0.2947814725,0.2971745324
6,700,698.6500873127,698.5872336240,698.8835984260,698.8833626761,-0.5915341810,-0.6424689689,0.3411767489,0.3415220695
7,800,798.6385220929,798.5666961827,798.8931805664,798.8921155044,-0.6012303278,-0.6582581692,0.3268324243,0.3284577531
8,900,898.6574536704,898.5810227217,898.8883404732,898.8876665733,-0.5852745762,-0.6472845420,0.3341549443,0.3351617918
9,1000,998.6548614802,998.6074020150,998.8779224404,998.8771082973,-0.5874849103,-0.6265764000,0.3493959925,0.3505591287
