n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.9958423296,0.9952665600,0.9995265024,0.9995403264,-0.0644800000,-0.0688000000,0.0217600000,0.0214400000
1,200,0.9984914544,0.9980215296,0.9993446400,0.9993302256,-0.0388400000,-0.0444800000,0.0256000000,0.0258800000
2,300,0.9988698450,0.9986601146,0.9996077840,0.9995978638,-0.0336177778,-0.0366044444,0.0198044444,0.0200533333
3,400,0.9989855775,0.9988248816,0.9997770951,0.9997740991,-0.0318500000,-0.0342800000,0.0149300000,0.0150300000
4,500,0.9992323997,0.9991261118,0.9997896804,0.9997872603,-0.0277056000,-0.0295616000,0.0145024000,0.0145856000
5,600,0.9993313753,0.9991861025,0.9998549314,0.9998525664,-0.0258577778,-0.0285288889,0.0120444444,0.0121422222
6,700,0.9994994096,0.9994094902,0.9998334741,0.9998331369,-0.0223738776,-0.0243004082,0.0129044898,0.0129175510
7,800,0.9995475871,0.9994576923,0.9998663086,0.9998649756,-0.0212700000,-0.0232875000,0.0115625000,0.0116200000
8,900,0.9996189696,0.9995339519,0.9998757959,0.9998750462,-0.0195200000,-0.0215881481,0.0111446914,0.0111782716
9,1000,0.9996545160,0.9996070090,0.9998778002,0.9998769853,-0.0185872000,-0.0198240000,0.0110544000,0.0110912000
