n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,35.8508304000,5.0428477440,0.0000000000,0.0483931264,0.1636141803,0.1610970391,0.0000000000,0.1500924279
1,200,57.3465113760,5.5563984000,0.0397992040,0.0481514609,0.2123408204,0.1249063649,0.0008921883,0.1502063128
2,300,71.5280100196,7.7141277084,0.1063101661,0.0480523270,0.2143490984,0.1414412418,0.0009721048,0.1494758968
3,400,85.1992710923,9.6522863063,0.0000000000,0.0485188713,0.2169767447,0.1531786335,0.0000000000,0.1500600006
4,500,96.9698553893,9.8964226704,0.0479035401,0.0482067728,0.2274040693,0.1403756730,0.0006781433,0.1499140874
5,600,107.7936663627,11.3063335112,0.0133110815,0.0484047337,0.2301214018,0.1463627152,0.0001719891,0.1502263853
6,700,117.4226554862,12.5309243815,0.0228244153,0.0483886396,0.2345069155,0.1501499459,0.0002729999,0.1500901004
7,800,126.2806791406,13.7291155145,0.0399499501,0.0484475605,0.2473779688,0.1538570294,0.0002234670,0.1503098039
8,900,134.8387681064,14.4583411335,0.0088790036,0.0482604006,0.2262464346,0.1527350724,0.0000936450,0.1500536219
9,1000,143.0523817411,14.7792545658,0.0159840000,0.0483785530,0.2288454914,0.1480859015,0.0000000000,0.1502666823
