n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0002420867,0.0000028359,0.0000000745,0.0003769174,0.0005592429,-0.0001227073
1,200,0.0001667925,0.0000011212,0.0000000272,0.0001618926,0.0002929880,-0.0000600178
2,300,0.0001353675,0.0000006421,0.0000000150,0.0001006203,0.0002018376,-0.0000399164
3,400,0.0001153503,0.0000004257,0.0000000098,0.0000819551,0.0001516444,-0.0000295085
4,500,0.0001026659,0.0000003085,0.0000000070,0.0000481019,0.0001220042,-0.0000234427
5,600,0.0000934092,0.0000002375,0.0000000054,0.0000426830,0.0001026671,-0.0000195241
6,700,0.0000859159,0.0000001892,0.0000000043,0.0000263797,0.0000877273,-0.0000166132
7,800,0.0000799715,0.0000001560,0.0000000035,0.0000295101,0.0000769118,-0.0000145225
8,900,0.0000755668,0.0000001313,0.0000000029,0.0000266599,0.0000685850,-0.0000128751
9,1000,0.0000714485,0.0000001125,0.0000000025,0.0000272883,0.0000616919,-0.0000115404
