n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0000938942,0.0000042579,0.0000007281,,-0.0004949666,0.0004985065,-0.0001650100,
1,200,0.0000788446,0.0000018025,0.0000002919,,-0.0001530138,0.0002408745,-0.0000803758,
2,300,0.0000652320,0.0000010293,0.0000001650,,-0.0001791110,0.0001607385,-0.0000531052,
3,400,0.0000600778,0.0000007083,0.0000001140,,-0.0001442485,0.0001181673,-0.0000388844,
4,500,0.0000533662,0.0000005321,0.0000000855,,-0.0000945281,0.0000988393,-0.0000331145,
5,600,0.0000514970,0.0000004279,0.0000000693,,-0.0000873098,0.0000812014,-0.0000267583,
6,700,0.0000463569,0.0000003438,0.0000000554,,-0.0000837547,0.0000671997,-0.0000221336,
7,800,0.0000449069,0.0000002888,0.0000000467,,-0.0000622627,0.0000596223,-0.0000198214,
8,900,0.0000433822,0.0000002455,0.0000000397,,-0.0000401189,0.0000527064,-0.0000174754,
9,1000,0.0000407276,0.0000002118,0.0000000340,,-0.0000478292,0.0000482052,-0.0000159816,
