n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.0307270231,0.0308451841,0.0308772804,0.0308962498,0.0723971543,0.0722301992,0.0723859034,0.0724365932
1,200,0.0326263935,0.0327030577,0.0327139216,0.0327234827,0.0713979062,0.0713656418,0.0714422939,0.0714674708
2,300,0.0330585894,0.0330909336,0.0331010838,0.0331079104,0.0707485359,0.0706813127,0.0707360641,0.0707531189
3,400,0.0336254195,0.0336192011,0.0336260285,0.0336311792,0.0705440133,0.0704724622,0.0705124935,0.0705251448
4,500,0.0340755354,0.0341103095,0.0341154770,0.0341196394,0.0706394358,0.0706092089,0.0706410831,0.0706511871
5,600,0.0343070034,0.0343170307,0.0343215866,0.0343251206,0.0704879072,0.0704534316,0.0704804341,0.0704888593
6,700,0.0344714691,0.0345003370,0.0345035980,0.0345065307,0.0703851748,0.0703665331,0.0703894649,0.0703966632
7,800,0.0346977699,0.0347182485,0.0347210920,0.0347237315,0.0703750865,0.0703549584,0.0703747920,0.0703810611
8,900,0.0347714061,0.0347765111,0.0347788156,0.0347811486,0.0702728227,0.0702480489,0.0702656651,0.0702712420
9,1000,0.0348326845,0.0348446780,0.0348469708,0.0348491025,0.0701836911,0.0701638261,0.0701798552,0.0701848891
