n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.2269440528,0.2283154670,0.2281002741,0.2279114281,0.4819734889,0.4843693868,0.4840650186,0.4839312465
1,200,0.2341170714,0.2324002876,0.2321236622,0.2320769648,0.4737436637,0.4743109506,0.4739941289,0.4739390995
2,300,0.2352711059,0.2367732045,0.2365667732,0.2365105186,0.4739654226,0.4763492584,0.4761310002,0.4760793871
3,400,0.2376595592,0.2378825115,0.2376933739,0.2376770683,0.4755972971,0.4767068626,0.4765539458,0.4765239395
4,500,0.2374144039,0.2375947038,0.2374368047,0.2374130409,0.4728175362,0.4734619876,0.4733341779,0.4733110545
5,600,0.2387297423,0.2388153753,0.2386706031,0.2386606543,0.4745614455,0.4752340152,0.4751191229,0.4751065168
6,700,0.2409070683,0.2413550154,0.2412406940,0.2412260076,0.4759052205,0.4767066928,0.4766090583,0.4765954397
7,800,0.2396647407,0.2398457706,0.2397488505,0.2397368375,0.4736208691,0.4741896306,0.4741125502,0.4740999755
8,900,0.2402963222,0.2406576100,0.2405716626,0.2405617502,0.4740855573,0.4747211001,0.4746566116,0.4746451171
9,1000,0.2407897417,0.2410653898,0.2409875457,0.2409793226,0.4745259747,0.4750296774,0.4749610622,0.4749500615
