n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1830229958,0.1825145166,0.1845647420,0.3418203621,0.1993035534,0.1984513230,0.2014667477,1.0914371657
1,200,0.2048196555,0.2043092565,0.2055921910,0.1104605615,0.1909889931,0.1903736660,0.1920197501,0.5501025485
2,300,0.2156911293,0.2151575296,0.2160582532,0.0277314049,0.1905346257,0.1900856872,0.1911641311,0.2931542608
3,400,0.2219532509,0.2217971540,0.2224743313,0.0084876267,0.1887580315,0.1884935043,0.1893273619,0.1817038215
4,500,0.2255280234,0.2253398911,0.2258792839,0.0035213526,0.1877843009,0.1875266571,0.1881801099,0.1290603177
5,600,0.2308549259,0.2307443132,0.2311967374,0.0018711831,0.1882435564,0.1880462718,0.1885921110,0.1003145091
6,700,0.2342814473,0.2342048408,0.2345922345,0.0011515313,0.1877017215,0.1875551965,0.1880169814,0.0826911493
7,800,0.2371632370,0.2370718263,0.2374053167,0.0007769526,0.1879590604,0.1878121455,0.1882170001,0.0706375300
8,900,0.2406577342,0.2405911525,0.2408994890,0.0005504214,0.1884304698,0.1883052396,0.1886661282,0.0617327929
9,1000,0.2411139163,0.2410800599,0.2413532721,0.0004122747,0.1874424246,0.1873480581,0.1876701174,0.0549074930
