n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.1830229958,0.1825145166,0.1845163607,0.1836283696,0.1993035534,0.1984513230,0.2013708027,0.2002546995
1,200,0.2048196555,0.2043092565,0.2055759706,0.2050154126,0.1909889931,0.1903736660,0.1919673440,0.1913779584
2,300,0.2156911293,0.2151575296,0.2160372932,0.2156428333,0.1905346257,0.1900856872,0.1911259967,0.1907452195
3,400,0.2219532509,0.2217971540,0.2224629256,0.2221664273,0.1887580315,0.1884935043,0.1892990791,0.1890064467
4,500,0.2255280234,0.2253398911,0.2258719481,0.2256287650,0.1877843009,0.1875266571,0.1881579136,0.1879271686
5,600,0.2308549259,0.2307443132,0.2311900347,0.2309803487,0.1882435564,0.1880462718,0.1885731779,0.1883801001
6,700,0.2342814473,0.2342048408,0.2345871148,0.2344086940,0.1877017215,0.1875551965,0.1880011107,0.1878381085
7,800,0.2371632370,0.2370718263,0.2374007074,0.2372442036,0.1879590604,0.1878121455,0.1882028997,0.1880602704
8,900,0.2406577342,0.2405911525,0.2408960913,0.2407509233,0.1884304698,0.1883052396,0.1886539550,0.1885267907
9,1000,0.2411139163,0.2410800599,0.2413500969,0.2412240617,0.1874424246,0.1873480581,0.1876591726,0.1875464288
