n,points,E,Em,E_1_5,Eb,A,Am,A_1_5,Ab
0,100,0.2382427975,0.2393469886,0.2404268787,0.2404545773,0.5946279112,0.5999673078,0.5997452243,0.5995768619
1,200,0.2540823670,0.2555142464,0.2558319333,0.2559354716,0.6005719457,0.6027804695,0.6024811039,0.6023753105
2,300,0.2639418383,0.2651939090,0.2654456684,0.2654967289,0.6016221623,0.6039070248,0.6037886644,0.6037156313
3,400,0.2651376392,0.2657270889,0.2658807181,0.2658719165,0.6019583850,0.6033931088,0.6032394124,0.6031806393
4,500,0.2676145329,0.2686499068,0.2688156091,0.2688118551,0.6014827685,0.6028236112,0.6027465472,0.6027197624
5,600,0.2685147815,0.2688299469,0.2690229456,0.2690277285,0.6029437577,0.6037407183,0.6036800529,0.6036439604
6,700,0.2689841968,0.2692653312,0.2694051036,0.2694074037,0.6021178262,0.6029435681,0.6028957023,0.6028658089
7,800,0.2690434431,0.2690966832,0.2692351017,0.2692300576,0.6006988874,0.6013660133,0.6013259790,0.6013006356
8,900,0.2692743728,0.2693238358,0.2694264980,0.2694333080,0.6014365174,0.6019135703,0.6018699673,0.6018498560
9,1000,0.2703740700,0.2703665227,0.2704499449,0.2704502159,0.6022384808,0.6026371393,0.6025894813,0.6025682193
