n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0035396127,0.0001308347,0.0000205060,0.0023514211,-0.0008437007,-0.0001405458
1,200,0.0034628397,0.0000726539,0.0000113636,0.0007807875,-0.0004958834,-0.0000936284
2,300,0.0033913605,0.0000505232,0.0000077317,0.0008690743,-0.0002878557,-0.0000605629
3,400,0.0033879320,0.0000403251,0.0000061541,0.0005557900,-0.0002374288,-0.0000446885
4,500,0.0033740833,0.0000332072,0.0000050776,0.0004701911,-0.0001700272,-0.0000275851
5,600,0.0033981949,0.0000289326,0.0000043771,0.0003648998,-0.0001538455,-0.0000256013
6,700,0.0033679561,0.0000255211,0.0000038759,0.0003523213,-0.0001252776,-0.0000238208
7,800,0.0033652822,0.0000226768,0.0000034850,0.0003123711,-0.0001105382,-0.0000199918
8,900,0.0033577928,0.0000207250,0.0000031659,0.0002281999,-0.0000991737,-0.0000171662
9,1000,0.0033542800,0.0000190292,0.0000029030,0.0002128263,-0.0000918352,-0.0000164432
