n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0007855466,0.0000312659,0.0000062985,0.0008997743,-0.0007804938,-0.0004102477
1,200,0.0006423727,0.0000137253,0.0000026461,0.0006430479,-0.0004364405,-0.0001901988
2,300,0.0005693487,0.0000084587,0.0000015992,0.0003556410,-0.0002970957,-0.0001406162
3,400,0.0005068352,0.0000058417,0.0000010999,0.0002829945,-0.0002304481,-0.0000995295
4,500,0.0004690699,0.0000043878,0.0000008240,0.0002516657,-0.0001905244,-0.0000810309
5,600,0.0004472039,0.0000034704,0.0000006484,0.0002279448,-0.0001616571,-0.0000675058
6,700,0.0004186595,0.0000028062,0.0000005229,0.0001288098,-0.0001370155,-0.0000566812
7,800,0.0003996862,0.0000023618,0.0000004385,0.0001563082,-0.0001187002,-0.0000482577
8,900,0.0003798464,0.0000020047,0.0000003735,0.0000944131,-0.0001042938,-0.0000451232
9,1000,0.0003667048,0.0000017467,0.0000003237,0.0000954575,-0.0000951719,-0.0000404091
