n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0000089572,0.0000000033,0.0000000000,0.0011804147,0.0000140400,0.0000004967
1,200,0.0000020586,0.0000000002,0.0000000000,0.0006103085,0.0000036403,0.0000001265
2,300,0.0000008520,0.0000000000,0.0000000000,0.0004122410,0.0000016430,0.0000000567
3,400,0.0000004765,0.0000000000,0.0000000000,0.0003116628,0.0000009365,0.0000000321
4,500,0.0000003688,0.0000000000,0.0000000000,0.0002503776,0.0000006028,0.0000000206
5,600,0.0000002235,0.0000000000,0.0000000000,0.0002096777,0.0000004215,0.0000000144
6,700,0.0000001568,0.0000000000,0.0000000000,0.0001801179,0.0000003108,0.0000000106
7,800,0.0000001176,0.0000000000,0.0000000000,0.0001579408,0.0000002385,0.0000000081
8,900,0.0000000917,0.0000000000,0.0000000000,0.0001406659,0.0000001887,0.0000000064
9,1000,0.0000000751,0.0000000000,0.0000000000,0.0001268635,0.0000001533,0.0000000052
