n,points,E,Em,E_1_5,A,Am,A_1_5
0,100,0.0000231340,0.0000000034,0.0000000000,0.0012732229,0.0000140100,0.0000004959
1,200,0.0000030851,0.0000000003,0.0000000000,0.0006251458,0.0000036483,0.0000001255
2,300,0.0000007873,0.0000000000,0.0000000000,0.0004113186,0.0000016556,0.0000000561
3,400,0.0000004437,0.0000000000,0.0000000000,0.0003086781,0.0000009263,0.0000000320
4,500,0.0000002846,0.0000000000,0.0000000000,0.0002497549,0.0000006046,0.0000000206
5,600,0.0000002076,0.0000000000,0.0000000000,0.0002080614,0.0000004170,0.0000000143
6,700,0.0000001552,0.0000000000,0.0000000000,0.0001798279,0.0000003117,0.0000000106
7,800,0.0000001109,0.0000000000,0.0000000000,0.0001577124,0.0000002390,0.0000000081
8,900,0.0000000879,0.0000000000,0.0000000000,0.0001402792,0.0000001888,0.0000000064
9,1000,0.0000000727,0.0000000000,0.0000000000,0.0001269578,0.0000001534,0.0000000052
